                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.1649,                 0.6474,                0.98911,                 1.3461,                0.79034,                0.98866,                0.91809,                0.86683,                0.92965,                0.49826,                 1.5696,                0.66067,                 1.1756,                 1.6601,                 0.7003,                 1.1421,             0.00084184,             0.00084184,             0.00084184
                     53,                 1.1473,                0.62547,                0.98314,                 1.3464,                0.76427,                0.98751,                0.89674,                 0.8305,                0.90797,                0.48689,                 1.5936,                0.71157,                   1.19,                 1.6787,                 0.8041,                 1.1587,             0.00082533,             0.00082533,             0.00082533
                     54,                 1.1587,                0.63438,                0.96843,                 1.3565,                0.76644,                0.96631,                0.89967,                 0.8326,                0.91046,                 0.4775,                 1.5946,                0.67388,                 1.2006,                 1.6614,                0.79607,                 1.1799,             0.00080883,             0.00080883,             0.00080883
                     55,                  1.131,                0.62163,                0.97019,                 1.3248,                0.75447,                0.96807,                0.91588,                0.85827,                0.92544,                0.49972,                 1.5867,                0.64882,                 1.1987,                 1.6615,                0.73322,                 1.1661,             0.00079233,             0.00079233,             0.00079233
                     56,                 1.0982,                0.61679,                 0.9756,                 1.3049,                0.75287,                0.98548,                0.93366,                 0.8244,                0.93063,                 0.5003,                 1.6065,                0.65286,                 1.2143,                 1.6721,                0.69485,                 1.1956,             0.00077582,             0.00077582,             0.00077582
                     57,                 1.1234,                0.61383,                0.96972,                 1.3327,                0.75925,                0.97602,                 0.8967,                0.84339,                0.91413,                0.48899,                 1.5943,                0.66401,                 1.2049,                 1.6694,                0.72299,                 1.1664,             0.00075932,             0.00075932,             0.00075932
                     58,                 1.0991,                 0.5959,                 0.9546,                  1.305,                0.72908,                0.96106,                0.86021,                 0.9061,                0.93056,                0.49294,                 1.6335,                 0.6477,                 1.2282,                 1.6991,                0.74599,                  1.181,             0.00074282,             0.00074282,             0.00074282
                     59,                 1.1639,                0.63729,                0.97769,                 1.3988,                0.80946,                 0.9813,                0.86152,                0.88308,                0.92652,                0.47492,                 1.6493,                0.67445,                 1.2544,                 1.7037,                0.75682,                 1.2007,             0.00072631,             0.00072631,             0.00072631
                     60,                 1.1263,                0.61159,                0.97292,                 1.3153,                 0.7294,                0.97173,                0.85068,                0.89045,                0.91822,                 0.4806,                 1.6445,                0.68779,                 1.2442,                 1.7188,                0.69792,                 1.2107,             0.00070981,             0.00070981,             0.00070981
                     61,                  1.147,                0.61947,                 0.9753,                 1.3651,                0.75088,                0.98578,                0.92193,                0.86218,                0.93291,                0.49465,                 1.6277,                0.69618,                 1.2356,                 1.7156,                0.73145,                 1.1987,             0.00069331,             0.00069331,             0.00069331
